,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,dist_pickup_to_wall_street
32,id3075902,2,2016-05-10 19:27:38,2016-05-10 19:44:40,2,-74.00550079345702,40.70658874511719,-73.9858169555664,40.74420166015625,N,1022,0.466407602961644
78,id1818021,1,2016-03-23 00:34:10,2016-03-23 00:45:24,1,-74.01116943359375,40.70360565185547,-74.0056915283203,40.74135971069336,N,674,0.41054875851274425
113,id0694434,1,2016-01-26 23:40:14,2016-01-26 23:48:39,1,-74.00679779052734,40.70607376098633,-73.9740219116211,40.74407577514648,N,505,0.37563095119083423
154,id0401226,1,2016-05-26 06:37:10,2016-05-26 06:52:19,4,-74.00670623779298,40.7055549621582,-73.99169158935547,40.74972152709961,N,909,0.40687349796521305
510,id1638050,1,2016-04-11 23:27:02,2016-04-11 23:38:11,1,-74.00940704345702,40.70612335205078,-73.97463226318358,40.75115966796875,N,669,0.18389739347248266
584,id0422722,2,2016-05-11 13:49:33,2016-05-11 14:12:31,6,-74.01280975341797,40.70817947387695,-73.98497772216798,40.742088317871094,N,1378,0.18555732979566203
649,id0153673,2,2016-05-25 08:00:03,2016-05-25 08:10:07,6,-74.0078582763672,40.70529556274415,-74.01348114013672,40.71526336669922,N,604,0.34257473969385066
814,id2587992,1,2016-06-15 18:34:54,2016-06-15 19:15:46,1,-74.00936126708984,40.709075927734375,-73.94978332519531,40.77261734008789,N,2452,0.23978273202011813
822,id3602048,1,2016-01-02 09:05:44,2016-01-02 09:21:55,1,-74.00737762451173,40.70790481567383,-73.96336364746094,40.77511215209961,N,971,0.3091216622358779
833,id0944696,2,2016-06-20 17:25:41,2016-06-20 17:34:40,5,-74.00840759277344,40.70764923095703,-74.00585174560547,40.714710235595696,N,539,0.21823310027881596
1089,id1287973,2,2016-05-28 15:07:18,2016-05-28 15:27:23,1,-74.01097869873048,40.71017074584961,-73.9809036254883,40.76395797729492,N,1205,0.320685416684199
